GrLivArea,BedroomAbvGr,SalePrice,TotalBath
848,1,143000,1.0
1970,3,281000,2.5
2046,3,372500,2.5
1865,3,235000,2.5
2134,5,214500,2.0
2646,4,260000,2.5
1236,2,149700,1.0
902,2,131000,1.0
912,2,144000,1.0
1656,3,215000,1.0
1382,3,176000,1.0
2020,4,144000,2.0
1052,3,155000,1.0
2531,4,290000,2.5
1852,3,230000,2.5
1660,3,290000,2.0
1709,2,328900,2.0
912,3,142000,1.0
1764,3,231500,2.5
1395,3,162000,1.5
1040,3,133000,1.5
2392,3,386250,2.0
1103,2,110500,1.0
2078,3,339750,2.5
803,2,87000,1.0
1152,3,158500,1.0
1173,3,170000,2.0
1092,3,55000,2.0
1784,4,138887,1.5
1920,4,170000,3.0
1670,3,240000,2.0
1223,2,147400,2.5
1801,1,289000,2.0
1656,4,135000,2.0
1717,3,140000,1.0
2599,4,333168,2.5
1644,3,146500,1.5
2468,4,354000,2.5
1362,1,143000,1.5
1484,2,265900,2.0
1200,1,146000,1.5
1350,3,165000,2.0
1152,2,82000,2.0
1680,3,213250,2.0
1440,3,79000,1.0
1214,3,143000,2.0
1479,3,130500,2.5
1801,3,239900,2.5
1494,3,177500,1.0
2329,4,262280,2.5
1588,3,227000,2.0
1194,3,159500,1.0
1494,3,217000,2.0
3238,4,410000,2.5
914,2,148000,1.0
1641,3,178000,1.5
1573,3,162900,2.0
1472,3,187500,2.0
1750,4,160000,2.0
1768,3,212000,2.5
1196,2,139000,1.0
1126,2,108000,2.0
845,3,84000,1.0
1968,4,172000,2.5
1221,4,104900,1.0
1368,3,114504,1.0
987,2,106000,1.5
1442,3,179900,2.0
1220,2,102000,1.0
1500,3,190000,2.0
2450,3,340000,2.5
2207,3,180000,2.0
1208,2,206000,2.0
1795,4,131500,2.0
1440,4,150000,2.0
1212,3,186000,2.0
1111,2,116900,1.0
2715,4,299800,3.5
1724,3,188000,2.5
1328,3,143000,1.5
1052,3,138500,1.5
2417,4,260000,2.5
948,3,119000,1.0
2019,3,167500,1.0
869,2,85500,1.0
1554,2,209500,2.0
2112,4,206900,2.5
1416,3,112000,2.0
1593,3,193000,2.5
1381,3,197500,1.5
1632,3,139000,2.0
954,2,119750,1.0
1922,4,198500,3.0
980,3,135000,1.0
1786,3,223500,2.5
1694,3,307000,2.0
972,2,132000,1.0
1437,3,168000,1.5
2263,3,287000,2.5
1725,3,197000,2.5
1236,2,134450,1.0
1040,3,133700,1.0
1704,3,306000,2.0
1523,3,180000,2.0
1489,3,232600,2.0
1569,1,175900,2.0
1212,3,178000,2.0
1573,3,227000,2.0
1790,4,165150,2.0
1576,3,223500,1.5
1728,3,207500,2.5
1600,3,256300,2.0
1922,3,377426,2.0
1692,3,224500,2.5
1656,3,249700,2.0
1047,2,100000,1.0
2728,4,437154,2.5
1425,3,180500,2.0
952,2,121000,1.0
990,3,156000,1.0
988,1,180000,1.0
1056,2,107000,1.0
1746,3,377500,2.0
1718,3,185000,2.5
1464,3,175000,2.0
1660,3,195000,2.5
1752,2,319900,2.0
2620,4,190000,3.0
4676,3,184750,3.5
784,2,109500,1.0
1120,3,129000,1.5
1382,3,148000,1.5
1386,3,158900,2.5
334,1,39300,1.0
1200,2,151000,2.5
1414,2,178740,2.0
1584,4,124000,2.0
1517,3,230000,1.0
1258,3,145000,2.0
902,3,125500,1.0
1158,3,158000,1.5
964,2,163500,1.0
2380,3,129000,2.5
1232,2,194500,2.0
864,3,127000,1.0
1982,3,228500,2.5
1924,3,280000,2.5
2080,3,234000,1.5
1647,3,175000,2.5
1617,2,193000,2.0
1340,3,120000,1.0
1940,3,395192,2.5
1855,4,136900,2.0
884,2,144000,1.0
1626,2,175500,2.5
1284,2,110000,1.5
2290,4,255900,2.5
816,2,110000,1.0
2183,4,229000,2.5
1869,2,124900,1.0
1646,4,164000,2.0
1844,2,257000,2.0
1571,3,239000,2.0
2082,3,200000,2.5
1959,5,171000,3.0
2374,4,285000,2.5
2142,4,193500,2.5
1200,2,144152,2.5
1992,3,250000,2.5
2285,4,248000,2.5
1824,2,302000,2.0
1850,3,326000,2.0
1355,4,127500,2.0
1668,3,180000,2.5
1406,3,89500,1.0
1888,2,190000,2.5
1228,2,189000,2.0
1638,3,192000,2.5
960,3,94750,1.0
1698,3,320000,2.0
1063,3,128000,1.0
1236,3,135000,1.0
1535,4,118964,2.0
630,1,81000,1.0
1092,3,88000,1.5
1652,2,325000,2.0
1144,3,139950,1.0
1795,2,147000,2.0
1541,3,205000,2.0
1507,4,127000,2.0
1441,2,174000,2.5
1479,3,191000,2.0
987,2,89500,1.5
672,2,113000,1.0
2192,4,179500,2.5
2000,3,305900,2.0
1125,2,155000,1.5
1124,3,93000,1.0
1839,3,257500,2.0
2144,4,277000,2.0
2260,3,328000,2.5
1977,4,165000,1.5
845,2,129500,1.0
1786,3,204750,2.5
2555,3,191000,2.0
1700,4,165500,1.5
1671,3,173000,2.5
1376,3,119500,2.0
1689,3,127500,1.0
2554,3,159500,1.5
1416,4,153900,1.5
816,2,129900,1.0
1370,3,152000,2.0
1442,2,185000,2.0
1285,2,127000,1.0
1474,3,168500,2.5
2013,3,269790,2.5
1563,3,245000,2.0
1663,2,256000,1.0
1192,4,135000,1.5
1774,4,87000,2.0
1962,3,239799,2.5
1302,3,176485,2.0
1118,2,116000,1.0
1766,2,370878,2.5
1253,3,176000,2.0
1097,3,152000,2.0
1078,3,149900,1.5
1572,3,168000,2.5
1524,0,260000,0.5
2060,3,214000,2.5
1344,3,137500,1.0
1818,4,169500,1.5
1029,3,118500,1.0
2521,5,151400,2.5
1500,3,173900,2.5
2217,4,268000,2.0
1370,2,202500,2.0
1262,2,185000,2.0
1894,4,214900,2.5
1694,3,318000,2.0
864,2,97000,1.0
1709,3,130000,2.0
1738,4,104900,2.0
1319,3,123000,1.0
3222,5,320000,3.0
1355,3,127000,1.5
1306,3,76500,1.0
768,2,133000,1.0
1077,2,118000,1.0
1183,2,120000,1.5
1456,3,179540,2.5
2291,4,230000,2.5
848,1,140000,1.0
2332,3,426000,2.5
1348,3,117000,1.0
2108,4,235000,2.0
1336,3,108000,1.5
5642,3,160000,2.5
1344,2,144000,1.0
1935,3,263435,2.5
1470,4,135000,2.0
2156,3,262500,2.0
1728,6,125000,2.0
1768,3,226700,2.5
1048,3,135000,1.0
1728,3,190000,2.5
2358,4,122000,2.0
1146,3,187500,2.0
1601,3,272000,2.0
1920,4,172500,2.0
1363,3,125500,1.0
1148,2,123500,1.0
1294,2,193879,2.0
1248,2,87000,1.0
1419,3,184100,2.5
1440,3,182900,2.0
1140,3,84500,1.0
2090,3,200000,2.5
1640,3,183000,2.5
1679,3,193500,2.0
1218,3,131000,1.0
1142,3,134000,1.5
1110,1,165500,1.0
1164,3,125000,1.0
1192,3,78000,1.0
1422,3,179600,2.0
894,3,130000,1.0
1953,3,252000,2.5
1792,3,231500,2.5
924,2,80000,1.0
752,2,125000,1.0
1740,3,219500,1.5
1593,3,178000,2.5
1385,4,166000,2.0
1266,3,176000,2.0
2021,3,274725,2.5
1334,2,167900,2.0
1252,2,160000,2.5
2526,5,136000,2.0
2402,2,555000,2.0
1362,3,128000,2.0
3627,4,625000,3.5
2520,4,290000,2.5
944,2,82000,1.0
912,3,125000,1.0
1553,3,186500,2.5
948,3,111000,1.0
1852,3,252678,2.5
1230,2,110000,1.5
1080,3,141000,1.0
1250,3,116000,1.5
1611,4,167900,1.5
1949,3,236000,2.5
1369,3,103600,2.0
1482,3,163900,2.5
1048,2,113000,1.0
1372,3,250580,2.0
1296,2,220000,2.0
990,3,126000,1.0
1489,3,139500,2.0
2172,3,280000,2.5
1266,2,159895,2.0
1218,2,208300,2.0
932,2,124000,1.0
1322,3,147000,2.5
1635,2,117000,1.0
1478,3,157500,2.0
1184,5,81000,1.0
1710,3,208500,2.5
912,2,156000,1.0
2126,3,185000,2.5
1394,3,167500,2.5
970,2,132500,1.0
1034,3,169900,1.0
1720,3,196500,2.5
1387,3,93000,2.0
1357,2,177000,1.0
1264,3,167500,1.0
1484,3,174000,2.5
1767,2,239000,2.0
813,2,110000,1.0
754,2,84500,1.0
2069,4,242000,2.0
1509,3,175000,2.0
1481,3,174000,2.5
960,3,129000,1.0
1040,2,109900,1.0
1040,2,90000,2.0
1802,4,200100,1.5
2610,4,303477,2.5
1466,3,149900,1.5
1652,4,139000,2.0
2097,3,228000,2.5
1625,2,235000,2.0
2287,3,225000,2.0
2822,4,582933,3.5
2054,3,244000,2.5
1336,2,157000,1.0
894,3,110000,1.0
1719,1,324000,1.5
2127,3,271000,2.5
1251,3,160000,1.0
912,2,120000,1.0
968,2,37900,1.0
1829,3,237000,2.5
1574,3,190000,2.5
720,2,34900,1.0
1980,3,315000,2.0
1621,3,202500,2.0
1602,3,215000,2.0
1616,3,152000,2.0
1600,2,207500,1.0
2119,3,158000,2.5
1709,3,130000,2.0
2110,3,244000,2.5
774,3,79000,1.0
796,2,55000,1.0
1707,2,228000,2.5
2161,3,325624,1.5
1716,2,191000,2.5
1362,3,163000,1.5
1796,3,211000,2.5
1652,2,392500,2.0
1482,3,143000,1.0
1015,3,88000,1.0
1578,3,133000,1.0
1086,3,144900,1.0
1218,3,91500,1.5
860,2,137000,1.0
1140,3,96500,1.0
1502,3,149000,1.5
1165,3,174900,1.5
1960,4,216500,2.5
2031,3,222500,2.5
1392,3,161750,1.5
1541,3,220000,2.0
1327,3,150750,1.0
1324,3,128000,1.0
1552,3,179900,2.5
2810,4,302000,2.5
3608,4,475000,2.5
1328,2,170000,1.5
2519,4,335000,2.5
1517,3,115000,2.0
1057,3,109000,1.0
2132,1,316600,1.5
1629,3,270000,2.0
1188,3,142000,1.0
1464,3,282922,2.0
1216,2,164000,2.0
1634,3,250000,2.0
924,3,122900,1.0
1060,3,154000,1.0
1548,3,155000,2.5
438,1,60000,1.0
747,2,80000,1.0
892,3,100000,1.0
1190,3,132500,1.0
1394,3,159000,1.5
1960,4,124500,2.0
848,1,131500,1.0
1339,2,180000,2.0
784,2,76000,1.0
948,3,108000,1.0
1178,3,157000,1.5
1983,3,225000,2.5
1728,4,188000,2.0
764,2,73000,1.0
988,2,91000,1.0
1224,2,173733,2.5
987,2,94500,1.5
1908,4,210000,2.5
1144,3,129000,1.0
1032,3,148000,2.0
2060,4,211000,2.5
1114,3,159000,1.5
1724,3,197900,1.5
1218,3,118000,1.5
841,2,82000,1.0
1088,2,170000,1.5
864,3,136500,1.0
1826,3,319000,2.0
1111,3,101000,1.0
912,2,147000,1.0
2270,4,290000,2.5
923,3,119500,1.0
910,3,116000,1.0
1040,2,92900,2.0
1374,2,105000,1.0
2121,3,415298,2.5
1959,4,215000,2.5
1539,3,141500,1.5
1268,2,132000,1.0
960,2,108500,1.0
1097,3,145000,1.5
1768,2,163000,1.5
1668,3,140000,1.5
1392,2,110000,1.0
1412,4,132500,1.0
1630,3,295493,2.0
1241,1,199900,1.5
768,2,129500,1.0
1640,3,224000,1.0
1419,2,392000,2.0
1200,3,179000,3.0
1479,4,184000,1.5
1414,3,176500,1.0
1344,4,98000,1.0
2320,2,169000,2.0
788,2,100000,1.0
1441,3,148500,2.5
864,2,127500,1.0
864,3,120500,1.0
1776,4,110000,2.0
1056,3,142000,1.0
904,1,61000,0.5
1478,2,222000,2.5
1605,3,107400,2.0
1790,3,193000,2.5
1868,4,197500,2.5
1218,3,113000,1.5
2084,2,385000,2.0
1456,3,148500,2.5
1256,3,147500,1.5
1509,3,183200,2.5
2320,3,259500,2.5
2624,4,239000,2.5
1375,3,141000,1.5
1095,2,140000,1.0
2200,4,145900,3.0
1494,3,221000,2.0
1346,2,112000,1.5
990,3,123600,1.0
2358,5,240000,3.0
833,2,117000,1.0
2482,4,281213,2.5
2098,3,275500,2.5
899,3,130000,1.0
2324,4,345000,3.0
894,2,123000,1.0
1575,2,179200,2.0
848,1,141000,1.0
1690,3,144000,1.0
1475,4,127000,2.0
1362,2,194700,2.0
1456,2,215000,2.0
2462,4,320000,2.5
1796,4,140000,1.5
1472,3,125000,1.0
1604,3,220000,2.5
1786,3,228950,2.0
1661,3,165500,1.0
630,1,80000,1.0
2020,3,402861,2.5
1665,3,227000,2.5
1836,3,216837,2.0
2372,4,107500,2.0
1301,2,100000,1.0
1240,2,194000,2.0
1244,3,150000,1.5
1795,3,230000,2.0
1167,3,173000,2.0
1578,3,287090,2.0
1908,4,202900,2.5
1198,4,79900,1.0
1976,2,440000,2.0
1328,3,107000,1.0
1268,3,143500,1.5
1250,2,171900,2.5
1664,4,100000,2.0
1416,3,179900,2.5
2291,4,133900,2.0
1710,3,240000,2.0
616,2,89000,1.0
1050,3,136500,1.0
1252,1,235000,1.0
990,3,138000,1.0
1078,2,142125,1.0
2087,5,187500,2.5
1429,3,181900,1.0
1812,4,140000,2.0
1138,3,145000,1.0
1484,3,175000,2.0
1557,2,234000,2.0
1196,2,109900,1.0
864,3,129900,1.0
1056,3,139400,1.0
2526,4,290000,2.5
1145,2,160200,2.0
1092,3,139000,1.0
1432,2,132000,2.0
1392,3,166000,1.5
1456,3,163990,2.5
1053,3,145500,1.5
3395,8,200000,2.0
1287,3,162000,1.0
778,2,120500,1.0
1092,3,88000,1.5
747,1,79900,1.0
1733,3,225000,2.5
1646,3,248900,2.0
2149,1,239686,1.5
1582,4,190000,2.0
1742,4,168000,1.5
1040,3,132250,1.0
912,2,114500,1.0
2198,4,250000,2.5
1680,4,136905,2.0
3447,4,381000,3.5
1316,3,130000,1.0
2601,4,189000,3.5
1365,3,125000,1.5
1258,2,172500,2.0
1574,3,232000,2.0
1096,3,138800,1.0
987,2,100000,1.5
1708,3,130000,2.0
3493,3,295000,3.0
1752,4,164000,2.0
2036,3,375000,2.0
1344,3,115000,1.0
1109,3,139000,1.0
1470,3,177000,2.0
952,2,139000,1.0
1680,3,222000,2.0
1516,3,167000,1.5
1734,3,318000,2.0
1502,1,212000,1.5
1626,2,173000,2.0
1469,3,135000,1.0
1550,2,241000,2.0
1368,2,202665,2.0
2596,4,342643,3.5
1339,3,139000,1.0
1839,4,221000,2.5
2452,4,309000,3.5
1509,3,180000,2.5
1434,3,189000,2.0
1294,3,179200,2.0
1680,4,177000,2.0
1721,3,201000,2.5
864,3,111250,1.0
1501,3,179400,2.5
2337,5,90000,2.0
1872,3,241500,2.0
1530,3,259000,2.0
1484,3,128000,2.0
630,1,86000,1.0
1200,4,125000,1.0
2872,4,272000,2.5
1445,3,158000,1.5
1116,3,160000,1.5
2090,3,207500,2.0
943,2,135960,1.0
1608,3,137450,2.5
1296,2,90000,2.0
840,3,87000,1.0
1978,4,176000,2.5
999,3,178400,1.0
958,2,143750,2.0
2727,3,315000,2.5
1167,3,144000,1.0
1851,3,187000,2.5
1252,3,142000,1.0
912,2,80500,1.0
1040,3,152000,1.0
1525,3,177000,2.5
2452,4,267000,2.5
3228,4,430000,3.0
1166,2,190000,2.0
1846,3,143000,2.0
1074,3,153500,1.5
2344,3,265000,2.5
893,2,135000,1.0
1493,3,208900,2.0
1968,4,269500,2.5
1004,2,149000,1.0
1456,4,91500,1.0
1635,3,210000,1.5
1458,3,97500,1.0
1224,2,165000,2.0
1506,2,213490,2.0
2136,4,137900,2.0
1416,3,155000,2.5
2633,2,466500,2.5
1468,3,244600,2.0
773,2,110000,1.0
1302,3,112000,2.5
900,3,134800,1.0
904,2,119000,1.0
1844,3,223000,2.0
1555,2,192500,2.0
1297,3,153000,1.0
1529,4,98000,2.0
1733,4,139600,2.0
1710,3,187000,2.5
1868,3,178000,3.5
1126,3,160000,2.0
1102,2,148800,2.5
1913,3,177000,1.5
1567,1,264561,2.0
1050,2,128900,1.0
1580,3,235128,2.0
1314,3,229456,2.0
2792,5,256000,2.0
1688,4,200000,2.5
1232,3,162500,2.0
1229,2,124000,1.5
1699,3,95000,2.0
936,2,93000,1.0
1948,4,195000,2.5
2224,4,350000,2.5
2002,4,145000,2.0
1993,4,190000,2.5
1861,3,200000,2.5
1041,3,124500,1.0
986,2,102000,1.0
1405,2,171750,2.0
1226,3,198900,2.0
838,2,130000,1.0
864,2,58500,1.0
1006,3,80000,1.0
1842,0,385000,0.5
1710,2,372402,2.0
2263,4,258000,2.5
2290,4,122500,2.0
1100,3,141000,1.0
2117,4,237500,2.5
960,3,112000,1.0
1774,2,129900,2.0
1082,2,119200,1.0
1122,2,147000,1.0
1338,2,213500,2.0
1756,3,204000,2.5
1302,3,158000,2.0
951,2,106500,1.0
987,2,83000,1.5
1090,2,157000,1.5
1604,3,117000,2.0
1512,2,168500,2.5
1577,3,140200,1.0
2167,3,294000,2.5
1212,3,151000,1.0
969,3,122000,1.5
1072,2,148000,1.0
1518,1,274000,1.5
1188,3,157900,1.0
1958,3,250000,2.5
1069,2,140000,2.0
1788,3,236500,2.0
2414,3,160000,2.0
720,2,72500,1.0
1261,3,163000,1.0
875,2,105000,1.0
672,2,108000,1.0
980,4,127500,2.0
1214,3,105000,1.0
1486,3,167000,1.0
1660,3,188700,1.5
1217,3,173000,2.0
1564,3,174500,1.5
1490,3,184000,2.5
3194,4,359100,2.5
1501,3,204000,2.0
1320,3,162000,2.5
2612,4,336000,2.5
3112,4,235000,2.0
2230,5,118500,1.0
2022,4,192000,2.5
2263,3,235000,2.5
1632,3,176500,2.5
1288,1,245500,1.5
1080,3,136000,1.0
1700,3,200000,2.0
1310,2,112000,2.0
1067,2,128000,2.0
1928,4,137000,2.0
2784,5,250000,3.5
2097,3,274300,2.5
816,2,120500,1.0
1953,3,240000,2.5
1659,2,278000,2.0
1779,3,170000,1.5
1248,2,167240,2.0
1929,3,226000,2.5
1262,3,181500,2.0
2696,4,383970,2.5
894,3,138500,1.0
1912,3,163000,2.0
965,3,119900,1.0
1824,4,139000,3.0
1787,3,275000,2.0
1440,4,118000,2.0
1252,3,119000,1.0
1987,2,301500,2.0
1181,3,137500,2.0
1792,3,186500,2.5
864,2,99900,1.0
1128,3,155000,2.0
1959,3,270000,2.5
1839,4,155000,1.5
904,3,109900,1.0
1040,3,150500,2.0
918,2,99500,2.0
1520,3,153000,1.0
1411,3,82500,2.0
2058,3,129500,1.5
2201,4,274970,2.0
1656,3,165400,2.5
1494,3,215000,2.0
1564,3,171000,2.5
981,3,143250,1.5
1502,3,165000,1.5
1092,2,141000,1.0
1520,3,159434,1.0
1320,3,164500,1.0
1836,3,280000,2.0
1889,4,122000,1.5
1130,2,120000,1.0
2398,3,315750,2.5
1991,3,220000,1.5
1838,2,315000,2.0
1352,4,158000,1.5
1720,3,260400,2.0
1716,4,171000,1.5
999,3,132500,1.0
1470,3,185000,2.5
1132,2,176000,1.5
1674,4,185000,2.0
1337,2,181000,2.0
1349,3,179000,2.0
1148,3,132500,1.0
1683,3,172500,2.5
1344,3,97000,1.5
1696,3,143900,1.5
882,3,106500,1.0
1895,3,194500,2.5
894,2,109500,1.0
1812,4,169500,2.0
1714,3,196500,2.5
1114,3,155000,1.0
1689,3,248328,2.0
1376,3,105000,1.0
2704,4,345000,2.5
1872,3,261500,2.5
858,2,116500,1.0
864,3,120500,1.0
1668,3,285000,2.0
835,2,83000,1.0
1128,2,118000,1.0
1639,3,115000,1.0
1214,2,140000,1.0
1556,4,154000,1.5
1364,2,185850,2.0
2236,4,222000,2.5
1004,2,135000,1.0
1121,2,140000,2.0
1721,3,180000,2.5
1316,3,200141,2.0
1324,3,160000,2.0
1360,1,187500,1.0
1194,3,148000,1.0
1856,1,394432,1.5
900,3,122000,1.0
1134,3,126000,1.5
1961,3,215000,2.5
816,2,138000,1.0
894,3,129000,1.0
1092,3,83500,1.5
1094,3,155000,1.0
1811,2,230000,1.0
1294,3,106250,2.0
2034,3,219500,2.5
1253,2,157000,1.5
2514,4,250000,2.5
1154,3,154000,1.5
1456,3,172785,2.5
1800,3,179000,2.5
1656,3,135000,2.5
2365,3,337000,2.5
1436,3,210000,2.0
1062,3,146800,1.0
1466,3,170000,2.0
1155,3,148000,1.0
1536,3,214000,2.0
971,3,128500,1.5
1003,3,142500,1.0
1504,3,203000,2.0
1920,4,137000,2.0
1242,3,175500,1.5
2340,4,266500,2.0
1661,3,224900,2.0
1113,3,148000,1.5
1230,3,121600,1.5
1279,3,171500,2.0
2668,3,412500,2.5
1208,2,103000,1.0
1310,3,164990,2.0
2576,4,361919,2.5
936,2,140000,1.0
1647,4,128000,1.5
1220,2,194000,2.0
882,3,112500,1.0
1302,3,106000,2.5
1442,3,180500,2.0
1561,2,277500,2.0
1204,2,162000,2.0
1378,3,161000,2.0
848,1,149300,1.0
1525,3,235000,2.0
1235,2,98600,1.0
1412,3,156932,2.5
2240,6,142953,2.0
2295,4,268000,2.5
1668,3,232000,2.0
1614,3,221500,2.0
866,2,110500,1.0
1494,3,279500,2.0
1432,3,188500,2.5
1904,3,275000,2.5
1125,3,125000,1.0
1072,2,140000,2.0
1867,2,190000,1.0
1482,4,140000,2.0
2376,4,325300,3.5
1048,3,98300,1.0
1820,4,201800,2.0
1200,2,151000,2.5
2018,3,378500,2.0
996,3,108000,1.0
848,1,136500,1.0
1761,3,227875,3.0
1057,3,132000,1.0
1593,0,286000,1.5
1382,3,165000,2.5
1391,2,196000,2.0
1363,2,164900,1.0
1459,3,192000,2.0
1652,2,251000,2.0
1026,3,147000,1.0
2640,4,265979,1.5
1640,3,173000,2.5
1108,3,139400,1.0
693,2,52500,1.0
1203,3,110000,1.0
1572,3,186700,1.5
1560,3,201000,2.0
1958,4,145000,2.0
894,3,125000,1.0
1269,2,192000,2.0
1428,3,227680,2.0
1932,2,394617,2.0
1684,2,266000,2.0
3279,4,538000,3.5
816,2,100000,1.0
2157,4,226000,2.5
1682,3,200500,2.5
698,2,118000,1.0
1687,3,160000,1.0
1224,2,164500,2.5
1728,6,119000,2.0
1141,3,142500,1.5
1277,2,167000,1.0
1123,3,100000,1.0
2524,4,278000,2.5
1314,3,176432,2.0
1981,4,135000,2.0
864,2,115000,1.0
1426,3,189950,1.5
1555,2,174000,2.0
